,date,division,inflation_yoy,inflation_mom
383,2024-07-01,03,-0.2,0.0
384,2024-08-01,03,-0.2,-0.1
385,2024-09-01,03,-0.3,0.0
386,2024-10-01,03,-0.2,0.0
387,2024-11-01,03,-0.3,-0.1
388,2024-12-01,03,-0.5,-0.2
389,2025-01-01,03,-0.3,0.1
390,2025-02-01,03,-0.2,0.1
391,2025-03-01,03,-0.2,0.0
392,2025-04-01,03,-0.1,0.0
393,2025-05-01,03,-0.2,0.0
394,2025-06-01,03,-0.3,-0.1
395,2025-07-01,03,-0.2,0.1
396,2025-08-01,03,-0.1,0.0
397,2025-09-01,03,-0.2,-0.1
398,2025-10-01,03,-0.3,-0.1
399,2025-11-01,03,-0.1,0.1
400,2025-12-01,03,0.1,0.0
401,2026-01-01,03,0.0,0.0
402,2026-02-01,03,0.0,0.1
403,2026-03-01,03,-0.1,-0.1
404,2026-04-01,03,-0.1,0.0
405,2026-05-01,03,-0.1,0.0
406,2026-06-01,03,0.0,0.0
407,2026-07-01,03,0.1,0.2
408,2018-02-01,04,,0.7
409,2018-03-01,04,,0.0
410,2018-04-01,04,,0.0
411,2018-05-01,04,,0.7
412,2018-06-01,04,,-0.1
413,2018-07-01,04,,0.0
414,2018-08-01,04,,0.7
415,2018-09-01,04,,0.0
416,2018-10-01,04,,0.0
417,2018-11-01,04,,0.3
418,2018-12-01,04,,0.0
419,2019-01-01,04,2.3,0.0
420,2019-02-01,04,2.3,0.6
421,2019-03-01,04,2.3,0.0
422,2019-04-01,04,2.3,0.0
423,2019-05-01,04,2.0,0.3
424,2019-06-01,04,2.0,0.0
425,2019-07-01,04,2.1,0.1
426,2019-08-01,04,1.9,0.6
427,2019-09-01,04,1.9,0.0
428,2019-10-01,04,2.0,0.1
429,2019-11-01,04,2.1,0.4
430,2019-12-01,04,2.1,0.0
431,2020-01-01,04,2.2,0.1
432,2020-02-01,04,1.9,0.4
433,2020-03-01,04,1.9,0.0
434,2020-04-01,04,1.9,0.0
435,2020-05-01,04,1.4,-0.2
436,2020-06-01,04,1.4,0.0
437,2020-07-01,04,1.4,0.0
438,2020-08-01,04,1.0,0.2
439,2020-09-01,04,1.0,0.0
440,2020-10-01,04,0.9,0.0
441,2020-11-01,04,0.6,0.1
442,2020-12-01,04,0.6,0.0
443,2021-01-01,04,0.5,0.0
444,2021-02-01,04,0.4,0.3
445,2021-03-01,04,0.4,0.0
446,2021-04-01,04,0.4,0.0
447,2021-05-01,04,0.6,0.1
448,2021-06-01,04,0.6,0.0
449,2021-07-01,04,0.6,0.0
450,2021-08-01,04,0.6,0.1
451,2021-09-01,04,0.6,0.1
452,2021-10-01,04,0.6,0.0
453,2021-11-01,04,0.8,0.2
454,2021-12-01,04,0.9,0.1
455,2022-01-01,04,0.9,0.0
456,2022-02-01,04,0.9,0.4
457,2022-03-01,04,0.9,0.0
458,2022-04-01,04,1.0,0.1
459,2022-05-01,04,1.3,0.4
460,2022-06-01,04,1.4,0.1
461,2022-07-01,04,1.4,0.0
462,2022-08-01,04,1.9,0.5
463,2022-09-01,04,1.8,0.0
464,2022-10-01,04,1.8,0.0
465,2022-11-01,04,1.8,0.2
466,2022-12-01,04,1.7,0.0
467,2023-01-01,04,1.7,0.0
468,2023-02-01,04,1.9,0.6
469,2023-03-01,04,1.9,0.0
470,2023-04-01,04,1.9,0.0
471,2023-05-01,04,2.1,0.6
472,2023-06-01,04,2.0,0.0
473,2023-07-01,04,2.0,0.0
474,2023-08-01,04,1.7,0.2
475,2023-09-01,04,1.8,0.1
476,2023-10-01,04,1.8,0.0
477,2023-11-01,04,1.8,0.3
478,2023-12-01,04,1.8,0.0
479,2024-01-01,04,1.8,0.0
480,2024-02-01,04,1.5,0.3
481,2024-03-01,04,1.5,0.0
482,2024-04-01,04,1.5,0.0
483,2024-05-01,04,1.7,0.8
484,2024-06-01,04,1.7,0.0
485,2024-07-01,04,1.7,0.0
486,2024-08-01,04,1.7,0.2
487,2024-09-01,04,1.6,0.0
488,2024-10-01,04,1.6,0.0
489,2024-11-01,04,1.7,0.4
490,2024-12-01,04,1.7,0.0
491,2025-01-01,04,1.8,0.1
492,2025-02-01,04,2.3,0.8
493,2025-03-01,04,2.3,0.0
494,2025-04-01,04,2.4,0.1
495,2025-05-01,04,2.1,0.4
496,2025-06-01,04,2.1,0.0
497,2025-07-01,04,2.1,0.0
498,2025-08-01,04,2.2,0.3
499,2025-09-01,04,2.2,0.0
500,2025-10-01,04,2.2,0.0
501,2025-11-01,04,2.1,0.3
502,2025-12-01,04,2.1,0.0
503,2026-01-01,04,2.0,0.1
504,2026-02-01,04,1.6,0.4
505,2026-03-01,04,1.6,0.0
506,2026-04-01,04,1.5,0.0
507,2026-05-01,04,1.4,0.3
508,2026-06-01,04,1.4,0.0
509,2026-07-01,04,1.4,0.0
510,2018-02-01,05,,-0.1
511,2018-03-01,05,,0.1
512,2018-04-01,05,,0.1
513,2018-05-01,05,,0.0
514,2018-06-01,05,,-2.4
515,2018-07-01,05,,0.0
516,2018-08-01,05,,0.1
517,2018-09-01,05,,1.0
518,2018-10-01,05,,0.4
519,2018-11-01,05,,0.3
520,2018-12-01,05,,0.2
521,2019-01-01,05,-0.3,0.2
522,2019-02-01,05,0.1,0.3
523,2019-03-01,05,0.3,0.3
524,2019-04-01,05,0.2,0.0
525,2019-05-01,05,0.5,0.3
526,2019-06-01,05,3.1,0.1
527,2019-07-01,05,3.3,0.2
528,2019-08-01,05,3.2,0.0
529,2019-09-01,05,2.1,-0.1
530,2019-10-01,05,1.7,0.0
531,2019-11-01,05,1.5,0.1
532,2019-12-01,05,1.4,0.1
533,2020-01-01,05,1.2,0.0
534,2020-02-01,05,1.0,0.1
535,2020-03-01,05,0.8,0.0
536,2020-04-01,05,0.3,-0.4
537,2020-05-01,05,-0.2,-0.2
538,2020-06-01,05,-0.2,0.1
539,2020-07-01,05,-0.1,0.3
540,2020-08-01,05,-0.1,0.0
541,2020-09-01,05,0.1,0.1
542,2020-10-01,05,0.1,0.0
543,2020-11-01,05,-0.1,-0.1
544,2020-12-01,05,-0.1,0.1
545,2021-01-01,05,0.2,0.3
546,2021-02-01,05,0.3,0.2
547,2021-03-01,05,0.9,0.6
548,2021-04-01,05,1.6,0.3
549,2021-05-01,05,2.1,0.3
550,2021-06-01,05,2.0,0.0
551,2021-07-01,05,1.7,0.0
552,2021-08-01,05,1.7,0.0
553,2021-09-01,05,1.7,0.1
554,2021-10-01,05,2.1,0.4
555,2021-11-01,05,2.6,0.3
556,2021-12-01,05,2.7,0.3
557,2022-01-01,05,3.1,0.6
558,2022-02-01,05,3.2,0.2
559,2022-03-01,05,3.0,0.4
560,2022-04-01,05,2.7,0.1
561,2022-05-01,05,2.9,0.5
562,2022-06-01,05,3.4,0.4
563,2022-07-01,05,4.0,0.6
564,2022-08-01,05,4.3,0.3
565,2022-09-01,05,4.4,0.2
566,2022-10-01,05,4.1,0.2
567,2022-11-01,05,3.8,0.1
568,2022-12-01,05,3.7,0.1
569,2023-01-01,05,3.5,0.4
570,2023-02-01,05,3.4,0.2
571,2023-03-01,05,3.1,0.2
572,2023-04-01,05,3.0,0.0
573,2023-05-01,05,2.7,0.2
574,2023-06-01,05,2.3,0.0
575,2023-07-01,05,1.9,0.2
576,2023-08-01,05,1.7,0.2
577,2023-09-01,05,1.5,0.0
578,2023-10-01,05,1.4,0.1
579,2023-11-01,05,1.4,0.1
580,2023-12-01,05,1.4,0.0
581,2024-01-01,05,1.0,0.0
582,2024-02-01,05,0.9,0.1
583,2024-03-01,05,0.9,0.2
584,2024-04-01,05,1.0,0.1
585,2024-05-01,05,0.8,0.0
586,2024-06-01,05,0.9,0.1
587,2024-07-01,05,0.9,0.2
588,2024-08-01,05,0.7,0.0
589,2024-09-01,05,0.6,-0.1
590,2024-10-01,05,0.5,-0.1
591,2024-11-01,05,0.5,0.1
592,2024-12-01,05,0.4,-0.1
593,2025-01-01,05,0.5,0.1
594,2025-02-01,05,0.3,-0.1
595,2025-03-01,05,0.2,0.1
596,2025-04-01,05,0.1,-0.1
597,2025-05-01,05,0.2,0.1
598,2025-06-01,05,0.1,0.0
599,2025-07-01,05,0.1,0.2
600,2025-08-01,05,0.2,0.1
601,2025-09-01,05,0.2,0.0
602,2025-10-01,05,0.3,0.0
603,2025-11-01,05,0.2,0.0
604,2025-12-01,05,0.3,0.0
605,2026-01-01,05,0.2,-0.1
606,2026-02-01,05,0.2,0.0
607,2026-03-01,05,0.1,-0.1
608,2026-04-01,05,0.4,0.2
609,2026-05-01,05,0.4,0.1
610,2026-06-01,05,0.4,0.0
611,2026-07-01,05,0.3,0.1
612,2018-02-01,06,,0.1
613,2018-03-01,06,,0.1
614,2018-04-01,06,,0.2
615,2018-05-01,06,,0.0
616,2018-06-01,06,,-1.4
617,2018-07-01,06,,0.0
618,2018-08-01,06,,0.1
619,2018-09-01,06,,0.0
620,2018-10-01,06,,0.0
621,2018-11-01,06,,0.2
622,2018-12-01,06,,0.0
623,2019-01-01,06,-0.5,0.2
624,2019-02-01,06,-0.4,0.2
625,2019-03-01,06,-0.2,0.2
626,2019-04-01,06,-0.3,0.2
627,2019-05-01,06,-0.3,0.0
628,2019-06-01,06,1.2,0.2
629,2019-07-01,06,1.3,0.1
630,2019-08-01,06,1.4,0.2
631,2019-09-01,06,1.3,-0.1
632,2019-10-01,06,1.4,0.1
633,2019-11-01,06,1.4,0.2
634,2019-12-01,06,1.4,0.0
635,2020-01-01,06,1.4,0.2
636,2020-02-01,06,1.3,0.1
637,2020-03-01,06,1.4,0.3
638,2020-04-01,06,1.2,0.0
639,2020-05-01,06,1.2,0.0
640,2020-06-01,06,1.1,0.1
641,2020-07-01,06,1.1,0.1
642,2020-08-01,06,1.1,0.1
643,2020-09-01,06,1.1,0.0
644,2020-10-01,06,1.1,0.1
645,2020-11-01,06,1.0,0.0
646,2020-12-01,06,1.0,0.0
647,2021-01-01,06,0.7,0.0
