date,yield_close,daily_change,tot_vol,maturity_month,maturity_year
2021-11-18,3.58,0.01,65.45,4,2031
2021-11-19,3.54,-0.04,148.69,4,2031
2021-11-22,3.55,0.01,45.44,4,2031
2021-11-23,3.58,0.03,27.5,4,2031
2021-11-24,3.56,-0.02,105.63,4,2031
2021-11-25,3.56,0.0,29.0,4,2031
2021-11-26,3.54,-0.02,29.5,4,2031
2021-11-29,3.52,-0.02,10.98,4,2031
2021-11-30,3.51,-0.01,89.93,4,2031
2021-12-01,3.52,0.01,80.85,4,2031
2021-12-02,3.54,0.02,140.84,4,2031
2021-12-03,3.54,0.0,84.14,4,2031
2021-12-06,3.51,-0.03,176.7,4,2031
2021-12-07,3.53,0.02,67.25,4,2031
2021-12-08,3.53,0.0,108.82,4,2031
2021-12-09,3.55,0.02,2.29,4,2031
2021-12-10,3.54,-0.01,25.55,4,2031
2021-12-13,3.57,0.03,73.21,4,2031
2021-12-14,3.57,0.0,112.68,4,2031
2021-12-15,3.58,0.01,20.89,4,2031
2021-12-16,3.58,0.0,31.77,4,2031
2021-12-17,3.55,-0.03,84.15,4,2031
2021-12-20,3.52,-0.03,178.78,4,2031
2021-12-21,3.53,0.01,1.46,4,2031
2021-12-22,3.53,0.0,61.39,4,2031
2021-12-23,3.55,0.02,30.1,4,2031
2021-12-24,3.55,0.0,0.92,4,2031
2021-12-28,3.62,0.07,5.58,4,2031
2021-12-29,3.58,-0.04,2.52,4,2031
2021-12-30,3.58,0.0,73.24,4,2031
2021-12-31,3.6,0.02,131.69,4,2031
2022-01-03,3.59,-0.01,68.35,4,2031
2022-01-04,3.62,0.03,447.4,4,2031
2022-01-05,3.62,0.0,334.28,4,2031
2022-01-06,3.66,0.04,607.71,4,2031
2022-01-07,3.65,-0.01,920.13,4,2031
2022-01-10,3.68,0.03,70.0,4,2031
2022-01-11,3.66,-0.02,151.09,4,2031
2022-01-12,3.65,-0.01,45.96,4,2031
2022-01-13,3.64,-0.01,320.08,4,2031
2022-01-14,3.59,-0.05,165.16,7,2032
2022-01-17,3.61,0.02,190.0,7,2032
2022-01-19,3.71,0.1,780.0,7,2032
